date,reservoir,data_type,inflow
1999-05-10,ECR,GCN_LSTM,70.35970306396484
1999-05-10,ECR,Ground_Truth,273.0
1999-05-10,LCR,AdaTrip,24.494081497192383
1999-05-10,LCR,GCN_LSTM,74.8663101196289
1999-05-10,LCR,Ground_Truth,221.0
1999-05-11,ECH,AdaTrip,167.9298553466797
1999-05-11,ECH,GCN_LSTM,113.23652648925781
1999-05-11,ECH,Ground_Truth,713.0
1999-05-11,ECR,AdaTrip,56.8940315246582
1999-05-11,ECR,GCN_LSTM,68.65950012207031
1999-05-11,ECR,Ground_Truth,224.0
1999-05-11,LCR,AdaTrip,21.200763702392578
1999-05-11,LCR,GCN_LSTM,76.29273223876953
1999-05-11,LCR,Ground_Truth,99.0
1999-05-12,ECH,AdaTrip,157.5518035888672
1999-05-12,ECH,GCN_LSTM,133.5531463623047
1999-05-12,ECH,Ground_Truth,583.0
1999-05-12,ECR,AdaTrip,55.249046325683594
1999-05-12,ECR,GCN_LSTM,86.27590942382812
1999-05-12,ECR,Ground_Truth,224.0
1999-05-12,LCR,AdaTrip,18.723873138427734
1999-05-12,LCR,GCN_LSTM,90.1327896118164
1999-05-12,LCR,Ground_Truth,161.0
1999-05-13,ECH,AdaTrip,156.85552978515625
